State,Population
Alabama,4728915
Alaska,774421
Arizona,8456448
Arkansas,3060219
California,42206743
Colorado,5278867
Connecticut,3675650
Delaware,963209
District of Columbia,480540
Florida,23406525
Georgia,10843753
Hawaii,1412373
Idaho,1741333
Illinois,13236720
Indiana,6627008
Iowa,3020496
Kansas,2890566
Kentucky,4424431
Louisiana,4719160
Maine,1408665
Maryland,6497626
Massachusetts,6855546
Michigan,10695993
Minnesota,5900769
Mississippi,3044812
Missouri,6199882
Montana,1022735
Nebraska,1802678
Nevada,3452283
New Hampshire,1524751
New Jersey,9461635
New Mexico,2084341
New York,19576920
North Carolina,10709289
North Dakota,630112
Ohio,11644058
Oklahoma,3735690
Oregon,4260393
Pennsylvania,12787354
Rhode Island,1154230
South Carolina,4822577
South Dakota,801939
Tennessee,6780670
Texas,28634896
Utah,2990094
Vermont,690686
Virginia,8917395
Washington,7432136
West Virginia,1801112
Wisconsin,6004954
Wyoming,530948
,335804546
