State,Start,End,Length
Alabama,4/4/2020,4/30/2020,26
Alaska,3/28/2020,4/24/2020,27
Arizona,3/31/2020,5/15/2020,45
Arkansas,,,0
California,3/19/2020,5/4/2020,46
Colorado,3/26/2020,4/26/2020,31
Connecticut,3/23/2020,5/20/2020,58
Delaware,3/24/2020,5/31/2020,68
District of Columbia,4/1/2020,5/15/2020,44
Florida,4/3/2020,4/30/2020,27
Georgia,4/3/2020,4/30/2020,27
Hawaii,3/25/2020,5/31/2020,67
Idaho,3/25/2020,4/30/2020,36
Illinois,3/25/2020,5/31/2020,67
Indiana,3/24/2020,5/1/2020,38
Iowa,,,0
Kansas,3/30/2020,5/3/2020,34
Kentucky,3/18/2020,5/11/2020,54
Louisiana,3/22/2020,5/15/2020,54
Maine,4/2/2020,5/31/2020,59
Maryland,3/30/2020,5/6/2020,37
Massachusetts,3/24/2020,5/18/2020,55
Michigan,3/24/2020,5/28/2020,65
Minnesota,3/27/2020,5/17/2020,51
Mississippi,3/31/2020,5/11/2020,41
Missouri,4/6/2020,5/3/2020,27
Montana,3/29/2020,4/26/2020,28
Nebraska,,,0
Nevada,4/2/2020,5/9/2020,37
New Hampshire,3/27/2020,6/15/2020,80
New Jersey,3/21/2020,6/9/2020,80
New Mexico,3/24/2020,5/31/2020,68
New York,3/22/2020,5/28/2020,67
North Carolina,3/30/2020,5/22/2020,53
North Dakota,,,0
Ohio,3/23/2020,5/29/2020,67
Oklahoma,3/24/2020,5/6/2020,43
Oregon,3/23/2020,5/8/2020,46
Pennsylvania,3/23/2020,6/4/2020,73
Rhode Island,3/28/2020,5/8/2020,41
South Carolina,4/6/2020,5/4/2020,28
South Dakota,,,0
Tennessee,3/31/2020,4/30/2020,30
Texas,3/31/2020,4/30/2020,30
Utah,3/27/2020,5/1/2020,35
Vermont,3/24/2020,5/15/2020,52
Virginia,3/24/2020,6/10/2020,78
Washington,3/25/2020,5/31/2020,67
West Virginia,3/24/2020,5/4/2020,41
Wisconsin,3/25/2020,5/13/2020,49
Wyoming,,,0
